Id,Name,Affiliation
9,Ernest Jordan,
14,K. MORIBE,
15,D. Jakominich,
25,William H. Nailon,
37,P. B. Littlewood,Cavendish Laboratory|Cambridge University
44,A. Kuroiwa,Department of Molecular Biology|School of Science|Nagoya University
55,Jose Pereira,HASLab / INESC TEC and Universidade do Minho
59,Buzz Aldrin,"Purdue University, West Lafayette, Indiana 47907-2023"
75,M. Till-berg,
85,E.c.c. Tsang,"This project,is supported,by a Hong,Kong,Polytechnic,University,grant,PA25"
112,E. A. Uliana,
114,Shankar Sa Y,Univ . of California at Berkeley
119,KAIPING HAN,"Department of Biological Sciences, University of South Carolina, Columbia, SC 29208, USA"
130,Xiaotao Wu,
175,Anneke A. Sohoone,Rijksuniversiteit.Utrecht
185,Harry Dankowicz,Department of Mechanical Science and Engineering|University of Illinois at Urbana-Champaign
193,Gebreselassie Baraki,"Oregon Graduate Institute , and Glasgow University"
199,Yufeng Xin,
201,Mass-market Dynamics,
202,Ph. Mathieu,Laboratoire d'Informatique Fondamentale de Lille
207,Robert A. Granat,
228,Hafez Hadinejad-mahram,
231,H. De Hoop,"ESSLLI  '98 Summer school class in Saarbrücken, August 1998, and the Stanford OT-Workshop ""Is"
250,Mark L. Manwaring,
254,Andrew L. Goldberg,Department of Diagnostic Radiology|Allegheny General Hospital
255,Julian Brad Eld,"Laboratory for Foundations of Computer Science; University of Edinburgh; JCMB , King's Buildings"
273,Bruce A. Rosenblatt,
287,Mitchell D. Theys,University of Illinois Chicago
291,Olaf E. Flippo,
302,Elisabeth Umkehrer,IRIDIA - Universit Libre de Bruxelles
308,Balasubramanian Sethuraman,Department of ECECS|University of Cincinnati
313,BARRY K. WITHERSPOON,
314,Natalia Jimeno,
325,Zhen Song,
334,Edmund Pierzchala,
336,Halina Przymusinska,
339,Jae-Hoon Kim,
347,Jonathan M. Borwein,
365,Victor M. Kureichick,
386,P Ludvigsen,
388,Mahir Hassan,
402,V. Climent,
406,Jens-Rainer Ohm,
408,F. Davidson,"Department of Dairy|University of Illinois , Urbana"
409,Olivier Bertrand,Institut National de la Santé et de la Recherche Médicale
410,Den Eshof,
423,Effects Of Moisture,
426,Michael Thomas,California Institute of Technology
435,Peter D. Chalk,
442,Universitat Heidelberg Im,
445,David W. Reagor,
449,J. Baba,
461,Taku Takeishi,
465,Leena Lulu,
472,Jean-paul De Blasis,
480,Kazuo Funaki,
499,N. Negoescu,
508,B. Delabre,European Southern Observatory
514,A. Difebbraro,
535,N. Kuster,"Foundation for Research on Information Technologies in Society (IT'IS), Zeughausstrasse 43"
536,Planning Subbarao Kambhampati,"Dept. of Computer Science and Computer Engineering, University of Arkansas"
547,Robert J. Waldmann,
548,Biondo L. Biondi,
550,Chester A. Ruszczyk,
560,Ryoji Nagai,Japan Atomic Energy Agency
561,T. Mcneill,Lowell Observatory
571,Erika F. De Lima,
576,Georges Meynet,
579,Jared A. Jeffries,
584,STEFFEN JAENSCH,
587,Jorg Dahmen,
591,Harald Kirchner,Bavarian Research Center
605,immunofluoresence study,"U.S. Fish and Wildlife Service,Division of Fish Hatcheries"
609,Louis Laborelli,
612,Matthias Roeckl,
623,Taneli Mielikainen,"FIN-00014 University of Helsinki, Finland"
633,Computer Science,Georgia Institute of Technology
638,Deborah E. Giaschi,Ophthalmology and Visual Sciences|University of British Columbia
642,Daniel Fitz,Division of Theoretical Chemistry|Institute of General Inorganic and Theoretical Chemistry|University of Innsbruck
657,S. Brunak,Center for Biological Sequence Analysis; The Technical University of Denmark
659,Douglas E. Comer,
684,T. Kashima,
710,William Tait,
716,R. Ishikawa,Department of Astronomy|University of Tokyo
724,Clarisse Dhaenens,UMR8022 Laboratoire d'Informatique Fondamentale de Lille
728,S. Tyler Staelin,Department of Surgery|University of Wisconsin
731,P C Mishra,KIIT University Kalinga Institute of Industrial Technology
743,L. E. Aranchuk,
745,Alexander V. Soldatov,Harvard University
767,Steven L. Salzberg,
771,P. K. Joshi,Space Applications Centre
782,A. Y.-J. Park,Department of Physics and Basic Research Institute|Sogang University
795,Anthony J. Saliba,
800,Soren Birk Rasmussen,Consejo Superior de Investigaciones Científicas
801,T. J. Howkins,
805,Atanasios Mitropoulos,
811,Lutz Schlesinger,
814,Jeffrey F. Naughton,Polymer Science Centre|University of Reading
817,Teoretisk Astrofysik Center,Budker Institute of Nuclear Physics
826,Emanuele Buratti,
