# should be complete
12+3,paul erdos|p erdos;1612709,875307,100556,1688847,1448688,330772,531733,2027099,1673916,378877,364837,13701,686638,1731196,1601270
12,marta patino-martinez;107874,907396,548293,1686310,1312007,1576073,1762539,665169,190390,1415741,896895
11,leonhard euler;1238753,1297442,1304771,47814,1109607,1819177,1649607,1415572,2173161,351544,974971
# unsure if complete
# H - Harry (Boston)
12,h eugene stanley;783619,500294,1174605,504243,61232,1674130,1253107,69492,508085,1337107,669370,237694
# h stanley (2152627) - no papers
1,h stanley;2152627
2,eugene h stanley|eugene stanley;161664,60602
11,peter bernhard hirsch|p b hirsch;368256,1110148,1549765,730190,1592499,1351061,170712,2023929,529083,894428,2223134
# no papers. may not be likely - a P.M. Hirsch exists
p hirsch;537534
# no other M Poveys in the data
malcolm j w povey|m j. w povey|m povey;1642402,2036868,394684,1109515,1225100,1910478,746485,210167,1427598,1434396,2216345,2114082,1858065,1505677,467846,1950286
barton wade brorsen|b wade brorsen|bw brorsen|b w brorsen|wade brorsen|bw brorsena;1493058,82947,629062,869020,1577966,601424,1886385,369876,1534998,1532249,924923,318524,314781,1808769,36324,1927876,542656,2281828
thomas wieder;941189,198022,216487,1318376,1253098,718471,2026956,1250285,595061,1294167
isaac r kaplan|isaac r kaplans;1955779,863141,1235304,1142252,839118,1256655,1678194,930392,1151931,498783,571888
gavriel salvendy;1305888,1199748,1222855,1680427,212689,322068,758517,1731862,1654202
martin eichenbaum|martin s eichenbaum;630090,698261,1804084
ulrich s schubert|ulrich s schubertt|ulrich s schubertd|ulrich s schubertb|ulrich s schubertbc;884180,968450,242699,445252,716021,2205748,27535,1453614
# note: the last three have a different affiliation (UNSW) but the papers match andrew cc yao
andrew chi-chih yao|a c yao|andrew chi-chin yao|andrew c. c yao|andrew c. -c yao|a c. c yao|andrew c yao|andrew yao;957419,273173,1897742,1498230,1700167,95346,1654459,1696396,143953,483001,1469883,2083606,761486
adriana cristina oliveira|adriana cristina oliveiraa|adriana cristina de oliveira|;1981296,1341712,1418963
adriana de oliveira;567937
manuel menendez-gonzalez|manuel menendez;1806444,1751484,1198415,208571,951972,1958091
roger tran-son-tay;1522938,921020,722621
#note: steven salzbergi richard is a concatenation of two names, but their program probably won't pick them up to be the same person
steven salzberg|steven l salzberg;38890,376791,1752114,397303,1054301,2105407,827109,2123531,2006317,1791054,1950172,767
steven salzbergi richard;1010223
allen p mills jr|allen p mills;1060182,1270643
albert einstein|a einstein;1044389,508042,750892,872272,436949,142134,1710041,488666,1143870,1784383,1942234,2278185,96610,291362
terrence j sejnowski|t sejnowski|t j sejnowski|j sejnowski|tj sejnowski|terry sejnowski|terrence j sejnowskit|terrence j sejnowskis;927362,1760868,1312229,1430574,456725,561631,1281530,1796315,2115231,496280,981190,718542,1500167,1780112,1457071,1391853,1705351,1996849,881811,647140,1893072,852174,250650,465945
michael e phelps|michael e phelpsis;2093559,1092417,418689,1179530,1568039,214768,544817,1239636,251733,1237655,1115492
10,B Y INGRID DAUBECHIES|Ingrid Daubechies|Ingrid Daubechies I;1623025,345668,22412,1039213,1085077,1238530,1300827,1454822,1788917,1987004,2151875,2211314
8,John F. Nash Jr;36243,1022256,1214412,1657144,1774472,1795690,2083410
John C. M. Nash;89810
#werner muller is a very messy cluster - it's pretty unclear even for humans
#confirmed clusters are below, but there are a few which only has the name, so we won't know where it is supposed to belong
#theme of the papers are used to classify these werner mullers too
#Werner E. G. Muller|Werner Muller;1944386,1624038,685487,1329042
#Werner Muller|W. H.-G. Muller;1018541,1885245,772352
#Werner Muller|Werner G. Muller;801616,1617864,489767,319192
#Werner Muller;312917
#Werner Muller;1516262
#unknown "werner muller"s;1733639,390891
th w de loos|theodoor w de loos|theo w de loos;1409429,1334493,533533,479998,616967,1533960,1891610,1805405,1591368,329883
# should be okay
#ricardo jimenezperis|ricardo jimnezperis;625608,1785801,177741,1569805,1683440,1819219,709331,1920567,1444186,2190684,1935375
## to check
#albert einstein;1044389,508042,750892,872272,436949,142134,1710041,488666,1143870,1784383
#terrence j sejnowski;927362,1760868,1312229,1430574,456725,561631,1281530,1796315,2115231
#stanley hoffmann;1229025,1764579,271172,1424656,2244340,1611798,729284,1298622,2020767
#rattan lal;1938025,1265130,706738,1600690,2032757,451849,2060890,96412,2082197
#peter nijkamp;502051,66852,1577829,547878,1105448,872493,105520,492904,1286293
#jan dhaene;1776515,2109799,326092,1214318,33102,893367,355707,1399613,2070079
#james e gentle;1717923,2266885,2135560,599721,1103826,733107,807817,1111288,1289177
#gerald schubert;388070,844521,1702890,1643437,665837,50387,1387544,1038042,1993491
#schubert gerald;398173
#c a coulson;2092355,1274407,1728264,1802834,563026,515764,942748,645181,1887358
#antony j williams;1933440,1532524,2292573,1703537,2129842,435092,1036573,1160093,1582495
#patrick suppes;2209730,1893187,105060,713512,424811,1834403,44420,1736091

# new ones added 09 June 2013
# parsing issues: "Lord"
lord rayleigh|L. Rayleigh;1382065,10236,1206037,1231530,1329323,1709393
gregory abowd|gregory d abowd;584492,2189526,80089,325789
# Russ Altman Md not picked up
rb altman|russ b altman|Russ Altman Md;532485,1229741,2057644,250222
# Mario and mrio - not merged - accented A dropped
mario alves|mrio alves;666409,1268676,2063314,45100,637951,2089406
Mário Fabiano Alves;1512903
m k amirhosseini|m khalaj amirhosseini|mohammad khalaj amirhosseini;767905,1736313,1809113,690597,1347156,1953607
# 3,0.913951,amirhosseini,m k amirhosseini|m khalaj amirhosseini|mohammad khalaj amirhosseini,1;767905,1736313,1809113
# 3,0.947625,amirhosseini,m khalaj amirhosseini,1;690597,1347156,1953607
h y ammar|hany ammar|hany h ammar;1238977,2212360,2003711,2082930
#2,0.976458,ammar,h y ammar,1;1238977,2212360
#2,0.922536,ammar,hany ammar|hany h ammar,1;2003711,2082930
steven m anlage|steven m anlagea;168470,1166671,1259990,1961898
# 2,0.994256,anlage,steven m anlage,1;168470,1166671
# 2,0.970715,anlagea,steven m anlagea,1;1259990,1961898
evert jan baerends;523317,697723,2027308,967346,1066570,1744072
# 3,0.960683,baerends,evert jan baerends,1;523317,697723,2027308
# 3,0.915225,baerends,evert jan baerends,1;967346,1066570,1744072
2,0.936358,baranov,v baranov,1;1541540,1843050
2,0.959792,baranov,v v baranov,1;963085,2229262
2,0.865042,bayzid,m s bayzid|md shamsuzzoha bayzid,1;238439,610474
3,0.970833,beel,joeran beel|joran beel,1;224509,722869,1519933
# beielstein should have got picked up under titles_dupW?
6,0.960526,beielstein,thomas bartz beielstein|thomas beielstein,1;302464,420908,528032,1134838,1427248,1580852,408436,1252480
c bisperink|c g j bisperink|chris bisperink|chris g j bisperink;1090754,1723219,1028026,2051346
borka jerman blazic;576562,1121734,1554374,793233,841202,1549975,1803389
g t h a m bots|g th a m bots|gerard th a m bots;1212948,1899130,62263,307104,449050,571657,767431,1828000
# jr - sufix
frederick p brooks jr|frederick brooks|frederick p brooks|frederick phillips brooks jr,1;1247228,1572466,1658890,816988,1305932,1331304
# titles_dupW - to check
g bugnon|gregory bugnon;644516,1972852,111035,577997,1649371
curtis g callan|curtis g callan jr;217299,1926804,86464,225408,1648253
jean camp|l jean camp;402618,1692329,995056,2065679
John M campbell;816146
John F campbell;924894
